transaction_id,wallet_id,amount_usd,type,transaction_timestamp
9371cc07-29bb-4354-aed0-fcd36b427d91,217a24db-ad55-4d47-96e3-ed583f8bbf7b,197.51,debit,2023-10-25T07:50:03
271df57b-a195-4413-a310-68f65fdf18be,a1ce14bd-0131-4de5-9d36-54e872329a85,285.05,debit,2023-03-10T19:51:07
e090885b-9d69-49d7-911f-23c9ebab2b76,087ef046-cefc-4b64-a9a2-8e144f4e2b18,545.28,credit,2023-02-09T14:17:34
2b28d6bf-f676-445b-844d-7d034fe8575b,80ef3f7e-766e-4f22-ab03-e01b833b4f8b,154.15,credit,2023-12-02T16:23:15
dc27d3d4-4a3d-42b6-b8e5-a6beb661e4d7,8c0f37e2-b450-4551-bbe3-d2dcb5597d93,669.99,debit,2024-01-18T01:47:24
fb2158f1-85f5-49e0-bc57-9124b985a85b,119b3fda-de1a-4b57-8d5d-564df46390cd,181.88,debit,2023-10-31T23:59:22
214fddcf-a4f3-46b6-9502-f65ec3eab902,00ba909e-58bf-4dd4-a537-73b3ff66381e,633.91,debit,2023-03-30T05:26:18
73f6a67f-b336-4067-a490-3eeab8c731c8,66034567-cf41-4c0c-b34c-029390b5356e,312.25,debit,2024-03-10T23:39:35
05350d1a-fffd-4401-96b1-838bfb79e125,c252537f-a841-45f8-a21a-07f8ce16618b,135.99,debit,2024-02-12T00:49:07
d4977784-663e-41f6-8ebf-d7d375fb4111,66660483-7d4c-4526-b99b-6772477402c1,566.12,debit,2024-09-23T23:40:37
ba04af5a-d8f9-4d78-b9cc-363ca5e8ee37,f7157fc2-2bca-4718-9915-534c1bba7e32,445.83,debit,2024-11-02T13:09:19
4387f373-ba34-437a-b4fb-d36e7b17e6da,4423f8c0-199d-41ba-84ca-9bb5b096897a,376.15,credit,2024-08-22T20:22:58
f3b6f3f8-a402-4f42-86a9-a3cfe82cfb55,3ef94767-c30f-4197-a24c-6120a27e9c60,822.02,debit,2023-08-17T20:20:57
